City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,25.85,82,100,3.6,US,1699500331
1,yanbu,24.0891,38.0637,28.02,61,0,5.14,SA,1699500331
2,port elizabeth,-33.918,25.5701,14.06,81,0,2.57,ZA,1699500332
3,port mathurin,-19.6833,63.4167,25.01,71,4,8.06,MU,1699500333
4,west island,-12.1568,96.8225,28.99,79,75,5.66,CC,1699500109
5,margaret river,-33.95,115.0667,15.68,59,100,6.77,AU,1699500140
6,ruidoso,33.3317,-105.673,14.17,23,0,0.0,US,1699500335
7,badger,64.8,-147.5333,-0.86,74,75,3.09,US,1699500336
8,ilulissat,69.2167,-51.1,-1.99,93,100,0.0,GL,1699500337
9,port-aux-francais,-49.35,70.2167,5.85,94,100,16.23,TF,1699500338
10,tiksi,71.6872,128.8694,-22.37,98,43,3.61,RU,1699500339
11,kalemie,-5.9475,29.1947,21.73,86,100,1.23,CD,1699500340
12,adamstown,-25.066,-130.1015,22.58,86,100,8.28,PN,1699500341
13,tadine,-21.55,167.8833,23.06,53,41,7.72,NC,1699500341
14,severnoye,56.3491,78.3619,-4.45,90,99,2.24,RU,1699500342
15,uturoa,-16.7333,-151.4333,25.89,79,28,9.66,PF,1699500343
16,bredasdorp,-34.5322,20.0403,11.36,81,0,1.05,ZA,1699500344
17,flying fish cove,-10.4217,105.6791,27.82,83,100,4.63,CX,1699500345
18,geraldton,-28.7667,114.6,24.23,50,40,7.2,AU,1699500346
19,dzhalagash,45.0833,64.6667,9.87,70,100,5.11,KZ,1699500346
20,al jubayl,27.0112,49.6583,24.43,55,0,3.87,SA,1699500132
21,ushuaia,-54.8,-68.3,4.81,65,75,2.06,AR,1699500348
22,port alfred,-33.5906,26.891,12.32,94,29,4.62,ZA,1699500349
23,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1699500350
24,cuatro cienegas de carranza,26.9833,-102.0833,24.7,36,36,2.57,MX,1699500351
25,atafu village,-8.5421,-172.5159,29.0,72,73,5.16,TK,1699500351
26,qulsary,46.9531,54.0198,8.43,82,10,2.33,KZ,1699500352
27,bilibino,68.0546,166.4372,-16.02,94,100,1.2,RU,1699500353
28,grytviken,-54.2811,-36.5092,3.63,76,100,0.67,GS,1699500350
29,coari,-4.085,-63.1414,23.9,91,43,0.44,BR,1699500231
30,papatowai,-46.5619,169.4708,11.36,55,28,5.21,NZ,1699500355
31,edinburgh of the seven seas,-37.0676,-12.3116,13.28,73,14,9.54,SH,1699500325
32,klyuchi,52.2667,79.1667,0.68,52,21,3.56,RU,1699500357
33,kapuskasing,49.4169,-82.4331,-2.95,86,100,4.63,CA,1699500359
34,richards bay,-28.783,32.0377,18.76,81,100,1.09,ZA,1699500359
35,rambervillers,48.3424,6.6358,8.53,67,100,6.25,FR,1699500360
36,karoi,-16.8099,29.6925,18.84,85,25,2.74,ZW,1699500361
37,trairi,-3.2778,-39.2689,26.77,75,81,6.78,BR,1699500362
38,ketchikan,55.3422,-131.6461,11.99,87,100,12.35,US,1699500363
39,ribeira grande,38.5167,-28.7,20.43,97,100,4.92,PT,1699500364
40,olonkinbyen,70.9221,-8.7187,-0.53,74,94,4.41,SJ,1699500325
41,kirensk,57.7853,108.1119,-12.24,94,87,2.24,RU,1699500365
42,lamu,-2.2717,40.902,24.12,90,98,2.29,KE,1699500366
43,birao,10.2849,22.7882,24.02,62,79,1.88,CF,1699500367
44,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699500368
45,blackmans bay,-43.0167,147.3167,22.51,71,35,2.24,AU,1699500369
46,mitu,1.1983,-70.1733,22.83,98,86,1.03,CO,1699500370
47,crane,31.3974,-102.3501,25.0,30,95,2.62,US,1699500371
48,vorgashor,67.5833,63.95,-1.18,99,100,2.19,RU,1699500372
49,albany,42.6001,-73.9662,2.23,64,100,1.67,US,1699500372
50,codrington,-38.2667,141.9667,19.33,54,44,4.69,AU,1699500373
51,thompson,55.7435,-97.8558,-1.91,74,75,3.09,CA,1699500083
52,waitangi,-43.9535,-176.5597,12.68,80,59,1.79,NZ,1699500363
53,kristiansund,63.1115,7.732,4.36,60,70,4.12,NO,1699500376
54,tolanaro,-25.0319,46.9987,23.04,94,75,6.17,MG,1699500377
55,tanjung pandan,-2.75,107.65,31.94,52,100,2.25,ID,1699500377
56,afif,23.9065,42.9172,18.5,42,0,4.49,SA,1699500378
57,prince rupert,54.3161,-130.3201,10.83,81,100,17.49,CA,1699500337
58,carnarvon,-24.8667,113.6333,23.81,60,0,7.92,AU,1699500380
59,bethel,41.3712,-73.414,5.2,58,100,1.54,US,1699500155
60,puerto carreno,6.189,-67.4859,26.46,81,100,2.14,CO,1699500382
61,new norfolk,-42.7826,147.0587,23.17,39,24,1.56,AU,1699500382
62,sitka,57.0531,-135.33,10.94,71,100,9.77,US,1699500095
63,stanley,54.868,-1.6985,5.4,93,75,1.54,GB,1699500341
64,tucuma,-0.1833,-50.05,26.53,74,100,3.4,BR,1699500385
65,lihue,21.9789,-159.3672,27.58,75,75,4.63,US,1699500386
66,aasiaat,68.7098,-52.8699,-4.53,81,100,1.16,GL,1699500386
67,verkhniy baskunchak,48.2256,46.7217,8.72,66,100,5.64,RU,1699500387
68,tshikapa,-6.4167,20.8,20.88,97,98,0.78,CD,1699500388
69,kodiak,57.79,-152.4072,3.73,81,100,3.09,US,1699500389
70,calingasta,-31.3308,-69.4078,16.96,24,0,2.33,AR,1699500390
71,arraial do cabo,-22.9661,-42.0278,21.92,78,0,7.72,BR,1699500109
72,stettler,52.3168,-112.7186,-2.14,80,31,4.63,CA,1699500392
73,calarasi,47.2544,28.3081,8.51,86,100,6.28,MD,1699500393
74,iqaluit,63.7506,-68.5145,-6.15,73,100,8.23,CA,1699500393
75,rio grande,-32.035,-52.0986,18.3,95,91,4.97,BR,1699500199
76,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,73,75,9.39,RU,1699500395
77,west hattiesburg,31.3191,-89.3751,20.46,85,0,3.09,US,1699500396
78,lompoc,34.6391,-120.4579,16.45,70,0,6.71,US,1699500397
79,puerto natales,-51.7236,-72.4875,2.06,91,4,2.87,CL,1699500397
80,fort bragg,35.139,-79.006,17.91,76,0,2.06,US,1699500398
81,oum hadjer,13.2954,19.6966,26.69,21,92,4.42,TD,1699500399
82,vernon,50.2581,-119.2691,5.74,82,27,1.03,CA,1699500400
83,sinabang,2.4803,96.3801,27.34,77,99,1.1,ID,1699500401
84,onokhoy,51.932,108.0747,-9.14,66,71,4.98,RU,1699500402
85,dudinka,69.4058,86.1778,-5.21,90,100,12.64,RU,1699500403
86,pisco,-13.7,-76.2167,18.03,88,0,4.12,PE,1699500281
87,mount isa,-20.7333,139.5,35.87,32,40,6.17,AU,1699500404
88,naama,33.2667,-0.3167,9.52,29,100,0.87,DZ,1699500405
89,tamanrasset,22.785,5.5228,18.51,16,36,3.58,DZ,1699500406
90,lebu,-37.6167,-73.65,10.13,90,1,7.72,CL,1699500407
91,talnakh,69.4865,88.3972,-5.44,94,100,7.97,RU,1699500397
92,baarn,52.2117,5.2875,10.61,95,100,1.34,NL,1699500408
93,hawaiian paradise park,19.5933,-154.9731,25.73,83,100,3.6,US,1699500409
94,karema,-6.8205,30.4389,23.12,83,99,1.65,TZ,1699500410
95,hovd,48.0056,91.6419,-4.46,59,57,1.19,MN,1699500411
96,avarua,-21.2078,-159.775,25.03,69,75,6.69,CK,1699500347
97,puerto ayora,-0.7393,-90.3518,24.75,93,92,5.36,EC,1699500376
98,kirakira,-10.4544,161.9205,28.07,82,74,5.86,SB,1699500413
99,whitehorse,60.7161,-135.0538,4.43,70,100,9.77,CA,1699500354
